trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,223,224,pedestrian
P2,0,171,172,pedestrian
P3,0,626,627,pedestrian
P4,205,707,503,pedestrian
P5,245,290,46,pedestrian
P6,1297,1920,624,pedestrian
P7,1322,1925,604,pedestrian
P8,1467,2072,606,pedestrian
P9,1622,1665,44,pedestrian
P10,1713,2082,370,pedestrian
P11,1889,2158,270,pedestrian
P12,2231,2308,78,pedestrian
P13,2230,2309,80,pedestrian
P14,2364,3467,1104,pedestrian
P15,2358,2406,49,pedestrian
P16,2460,2830,371,pedestrian
P17,2686,3033,348,pedestrian
P18,2843,2852,10,pedestrian
P19,3158,3563,406,pedestrian
P20,3357,3605,249,pedestrian
P21,3574,3592,19,pedestrian
P22,3638,3663,26,pedestrian
P23,4022,4227,206,pedestrian
P24,4275,4671,397,pedestrian
P25,5048,5588,541,pedestrian
P26,5294,5335,42,pedestrian
P27,5078,5589,512,pedestrian
P28,5363,5540,178,pedestrian
P29,5607,5628,22,pedestrian
P30,5625,5648,24,pedestrian
P31,5637,5926,290,pedestrian
P32,5645,5855,211,pedestrian
P33,5704,6090,387,pedestrian
P34,5831,5919,89,pedestrian
P35,5928,6533,606,pedestrian
P36,6328,7124,797,pedestrian
P37,7017,7649,633,pedestrian
P38,7031,7464,434,pedestrian
P39,7056,7408,353,pedestrian
P40,7059,7515,457,pedestrian
P41,7476,7681,206,pedestrian
P42,7503,7512,10,pedestrian
P43,8160,8352,193,pedestrian
P44,8153,8173,21,pedestrian
P45,8191,8211,21,pedestrian
P46,8222,8482,261,pedestrian
P47,8232,8774,543,pedestrian
P48,8454,8624,171,pedestrian
P49,8522,8552,31,pedestrian
P50,8751,9164,414,pedestrian
P51,9017,9274,258,pedestrian
P52,9092,9205,114,pedestrian
P53,9131,9147,17,pedestrian
P54,9223,12088,2866,pedestrian
P55,9239,9296,58,pedestrian
P56,9315,9566,252,pedestrian
P57,9604,9673,70,pedestrian
P58,9642,9678,37,pedestrian
P59,9802,9842,41,pedestrian
P60,9854,9882,29,pedestrian
P61,10363,10685,323,pedestrian
P62,10461,10683,223,pedestrian
P63,10502,10616,115,pedestrian
P64,10532,10690,159,pedestrian
P65,10752,10793,42,pedestrian
P66,11360,11520,161,pedestrian
P67,11376,11745,370,pedestrian
P68,11499,11509,11,pedestrian
P69,11619,11628,10,pedestrian
P70,11954,12049,96,pedestrian
P71,11682,11862,181,pedestrian
P72,11761,11774,14,pedestrian
