RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-864,-28828.8288288288,1,0,0,1,1,0,0,1
214,7140.47380714047,3,0,0,3,3,0,0,3
304,10143.4768101435,0,0,0,0,0,0,0,0
334,11144.4778111445,0,1,1,0,0,1,1,0
1113,37137.1371371371,0,3,3,0,0,3,3,0
1203,40140.1401401401,0,0,0,0,0,0,0,0
1234,41174.5078411745,1,0,0,1,1,0,0,1
2313,77177.1771771772,3,0,0,3,3,0,0,3
2403,80180.1801801802,0,0,0,0,0,0,0,0
2432,81147.8144811478,0,1,1,0,0,1,1,0
3212,107173.840507174,0,3,3,0,0,3,3,0
3302,110176.843510177,0,0,0,0,0,0,0,0
3332,111177.844511178,1,0,0,1,1,0,0,1
4410,147147.147147147,3,0,0,3,3,0,0,3
4500,150150.15015015,0,0,0,0,0,0,0,0
4530,151151.151151151,0,1,1,0,0,1,1,0
5309,177143.810477144,0,3,3,0,0,3,3,0
5399,180146.813480147,0,0,0,0,0,0,0,0
5429,181147.814481148,1,0,0,1,1,0,0,1
6509,217183.850517184,3,0,0,3,3,0,0,3
6599,220186.853520187,0,0,0,0,0,0,0,0
6629,221187.854521188,0,1,1,0,0,1,1,0
7407,247147.147147147,0,3,3,0,0,3,3,0
7497,250150.15015015,0,0,0,0,0,0,0,0
7528,251184.517851185,1,0,0,1,1,0,0,1
8607,287187.187187187,3,0,0,3,3,0,0,3
8697,290190.19019019,0,0,0,0,0,0,0,0
8727,291191.191191191,0,1,1,0,0,1,1,0
9507,317217.217217217,0,3,3,0,0,3,3,0
9597,320220.22022022,0,0,0,0,0,0,0,0
9626,321187.854521188,1,0,0,1,1,0,0,1
10705,357190.523857191,3,0,0,3,3,0,0,3
10795,360193.526860193,0,0,0,0,0,0,0,0
10825,361194.527861195,0,1,1,0,0,1,1,0
11604,387187.187187187,0,3,3,0,0,3,3,0
11694,390190.19019019,0,0,0,0,0,0,0,0
11724,391191.191191191,1,0,0,1,1,0,0,1
12803,427193.860527194,3,0,0,3,3,0,0,3
12892,430163.496830164,0,0,0,0,0,0,0,0
12922,431164.497831165,0,1,1,0,0,1,1,0
13701,457157.157157157,0,3,3,0,0,3,3,0
13791,460160.16016016,0,0,0,0,0,0,0,0
13822,461194.527861195,1,0,0,1,1,0,0,1
