trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,10323,10324,pedestrian
P2,39,438,400,pedestrian
P3,236,558,323,pedestrian
P4,246,569,324,pedestrian
P5,1026,1208,183,pedestrian
P6,1053,1265,213,pedestrian
P7,1049,1217,169,pedestrian
P8,1060,1071,12,pedestrian
P9,1146,1581,436,pedestrian
P10,2010,2023,14,pedestrian
P11,2069,3087,1019,pedestrian
P12,3218,3283,66,pedestrian
P13,3303,3769,467,pedestrian
P14,3834,3945,112,pedestrian
P15,4665,4858,194,pedestrian
P16,4782,5456,675,pedestrian
P17,5015,5564,550,pedestrian
P18,5014,5569,556,pedestrian
P19,5149,5600,452,pedestrian
P20,5156,5609,454,pedestrian
P21,5295,5556,262,pedestrian
P22,5356,5565,210,pedestrian
P23,5304,5552,249,pedestrian
P24,5469,5488,20,pedestrian
P25,5661,5712,52,pedestrian
P26,6342,6628,287,pedestrian
P27,5789,5907,119,pedestrian
P28,5802,6352,551,pedestrian
P29,5799,5912,114,pedestrian
P30,5956,6236,281,pedestrian
P31,6161,6173,13,pedestrian
P32,6142,6500,359,pedestrian
P33,6165,6451,287,pedestrian
P34,6594,6994,401,pedestrian
P35,6618,6977,360,pedestrian
P36,6608,6895,288,pedestrian
P37,6629,6909,281,pedestrian
P38,6651,6961,311,pedestrian
P39,6818,6895,78,pedestrian
P40,6767,7051,285,pedestrian
P41,6912,6931,20,pedestrian
P42,7062,7121,60,pedestrian
P43,7490,7847,358,pedestrian
P44,7651,7988,338,pedestrian
P45,7855,8025,171,pedestrian
P46,7885,8458,574,pedestrian
P47,8101,8114,14,pedestrian
P48,8322,8385,64,pedestrian
P49,8640,8670,31,pedestrian
P50,8782,9066,285,pedestrian
P51,8864,8928,65,pedestrian
P52,8878,9181,304,pedestrian
P53,8954,9415,462,pedestrian
P54,9181,9193,13,pedestrian
P55,9251,9755,505,pedestrian
P56,9428,9500,73,pedestrian
P57,9652,9787,136,pedestrian
P58,9611,9702,92,pedestrian
P59,9644,10139,496,pedestrian
P60,9659,10226,568,pedestrian
P61,9666,10169,504,pedestrian
P62,9668,10075,408,pedestrian
P63,10017,10243,227,pedestrian
P64,10017,10290,274,pedestrian
P65,10247,10323,77,pedestrian
P66,10253,10323,71,pedestrian
P67,10274,10290,17,pedestrian
