trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,175,176,pedestrian
P2,731,994,264,pedestrian
P3,757,931,175,pedestrian
P4,745,1010,266,pedestrian
P5,1063,1127,65,pedestrian
P6,1264,1632,369,pedestrian
P7,2048,2113,66,pedestrian
P8,2066,2358,293,pedestrian
P9,2121,2597,477,pedestrian
P10,2174,2580,407,pedestrian
P11,2621,2973,353,pedestrian
P12,2862,3016,155,pedestrian
P13,2917,3003,87,pedestrian
P14,3224,3287,64,pedestrian
P15,3352,3690,339,pedestrian
P16,3750,3901,152,pedestrian
P17,3889,4178,290,pedestrian
P18,4171,4231,61,pedestrian
P19,5071,5153,83,pedestrian
P20,5132,5516,385,pedestrian
P21,5212,5457,246,pedestrian
P22,5805,5987,183,pedestrian
P23,5826,6019,194,pedestrian
P24,5810,5870,61,pedestrian
P25,5812,5869,58,pedestrian
P26,5996,6310,315,pedestrian
P27,7272,7723,452,pedestrian
P28,7493,7715,223,pedestrian
P29,7848,8164,317,pedestrian
P30,8338,8420,83,pedestrian
P31,8355,8550,196,pedestrian
P32,8329,8602,274,pedestrian
P33,8315,8700,386,pedestrian
P34,8328,8709,382,pedestrian
P35,8442,8680,239,pedestrian
P36,8596,8859,264,pedestrian
P37,8534,8881,348,pedestrian
P38,8660,9105,446,pedestrian
P39,9263,9540,278,pedestrian
P40,9779,9831,53,pedestrian
P41,9998,10063,66,pedestrian
P42,10003,10298,296,pedestrian
P43,10058,10310,253,pedestrian
P44,10077,10165,89,pedestrian
P45,10182,10652,471,pedestrian
P46,10551,10636,86,pedestrian
P47,10558,10632,75,pedestrian
P48,10547,11145,599,pedestrian
P49,10656,10706,51,pedestrian
