trackId,initialFrame,finalFrame,Frame_nums,width,length,class,CrossType,Signal_Violation_Behavior
10,31,120,90,1.8563505535787113,4.712225908056509,car,StraightCross,No violation of traffic lights
11,57,308,252,0.6618553186241527,1.74005601654876,bicycle,StraightCross,No violation of traffic lights
12,46,268,223,0.6191284913458664,1.5108567037827516,bicycle,StraightCross,No violation of traffic lights
13,77,308,232,0.6473863506397919,1.604353038440027,bicycle,StraightCross,No violation of traffic lights
14,76,309,234,0.6338606860082745,1.6412830211721035,bicycle,StraightCross,No violation of traffic lights
17,170,250,81,1.879274257552749,4.992120875053389,car,StraightCross,yellow-light running
18,170,229,60,1.8863638448898232,4.897324641705685,car,StraightCross,No violation of traffic lights
22,312,476,165,0.7562509840621757,2.1082600506788336,motorcycle,StraightCross,red-light running
23,368,714,347,1.699624677103565,4.5740993873402696,car,StraightCross,No violation of traffic lights
25,367,536,170,0.6643997768692249,1.741477125535103,bicycle,StraightCross,No violation of traffic lights
26,416,709,294,0.6149557225940178,1.700240491990698,bicycle,StraightCross,red-light running
27,450,520,71,1.8153782108981973,4.373831070822185,car,StraightCross,No violation of traffic lights
31,479,701,223,1.9686913850528132,5.273690362895633,car,StraightCross,No violation of traffic lights
33,530,799,270,0.6130771075217895,1.6046852807089755,bicycle,StraightCross,No violation of traffic lights
39,602,723,122,0.8252539020501747,1.9258053813877347,motorcycle,StraightCross,No violation of traffic lights
41,677,773,97,1.9103933051589488,4.836994969958362,car,StraightCross,No violation of traffic lights
45,755,856,102,1.8631197822101788,4.5124331298403195,car,StraightCross,No violation of traffic lights
46,774,868,95,1.8523504897476366,4.765370513512125,car,StraightCross,No violation of traffic lights
47,823,1104,282,0.6373007055909244,1.6770421397364197,bicycle,StraightCross,No violation of traffic lights
48,867,935,69,1.748593156930736,4.5591394751495615,car,StraightCross,No violation of traffic lights
51,900,1046,147,0.7918009665050726,1.860406593047236,motorcycle,StraightCross,No violation of traffic lights
52,1008,1115,108,0.7454084490238956,1.6212046547543706,motorcycle,StraightCross,No violation of traffic lights
61,1226,1463,238,1.8368102049505297,4.72416001329837,car,StraightCross,No violation of traffic lights
62,1227,1472,246,1.7740568002780228,4.71182275232045,car,StraightCross,No violation of traffic lights
63,1253,1490,238,2.0527324064554677,5.2805143344586964,car,StraightCross,No violation of traffic lights
64,1263,1488,226,1.8587590271048415,4.531327794951832,car,StraightCross,No violation of traffic lights
66,1297,1440,144,1.7562302113957216,4.67333179679663,car,StraightCross,No violation of traffic lights
68,1351,1556,206,0.7711667152092391,1.4794733832444604,motorcycle,StraightCross,red-light running
69,1361,1562,202,0.8263768359845838,1.565451920225697,motorcycle,StraightCross,red-light running
72,1479,1733,255,0.6273321135801916,1.6358375745233715,bicycle,StraightCross,No violation of traffic lights
76,1573,1646,74,1.8157221027333201,4.7841398059640055,car,StraightCross,yellow-light running
77,1599,1660,62,1.7791404237058077,4.6421726377629255,car,StraightCross,yellow-light running
78,1605,2094,490,0.7357251743103983,1.6977753697928524,motorcycle,StraightCross,No violation of traffic lights
79,1611,2092,482,0.8002214194277756,1.5894293111155637,motorcycle,StraightCross,No violation of traffic lights
80,1668,2063,396,1.7955517803798378,4.832362205226083,car,StraightCross,No violation of traffic lights
82,1684,2101,418,1.7465402645394572,4.724079422459254,car,StraightCross,No violation of traffic lights
83,1692,1749,58,1.9285499580641163,4.75509478494033,car,StraightCross,No violation of traffic lights
85,1725,1842,118,0.6595456179470207,1.594162906619113,bicycle,StraightCross,No violation of traffic lights
87,1775,1855,81,0.7981253047716873,2.1529419965641146,motorcycle,StraightCross,red-light running
91,1938,2255,318,0.6489447954855193,1.637502420355717,bicycle,StraightCross,No violation of traffic lights
92,1942,2014,73,1.8560793616827185,4.763049068332564,car,StraightCross,No violation of traffic lights
93,1972,2133,162,1.8151257787782225,4.68922466733035,car,StraightCross,No violation of traffic lights
96,2003,2154,152,1.8969737162331934,4.7982234199193154,car,StraightCross,No violation of traffic lights
97,2022,2221,200,0.748232125524615,1.5195251228967335,motorcycle,StraightCross,No violation of traffic lights
100,2181,2361,181,1.772696537954272,4.5648577643929915,car,StraightCross,No violation of traffic lights
101,2096,2308,213,0.6233712426926,1.625505118181104,bicycle,StraightCross,No violation of traffic lights
102,2110,2295,186,0.7629243558503839,2.165347933309388,motorcycle,StraightCross,No violation of traffic lights
103,2114,2328,215,0.7530772970046717,1.741757156864856,motorcycle,StraightCross,No violation of traffic lights
105,2127,2241,115,0.7599236815796453,1.9994327256274005,motorcycle,StraightCross,No violation of traffic lights
