trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,573,574,pedestrian
P2,0,258,259,pedestrian
P3,266,573,308,pedestrian
P4,90,524,435,pedestrian
P5,97,525,429,pedestrian
P6,207,230,24,animal
P7,238,713,476,pedestrian
P8,348,753,406,pedestrian
P9,404,844,441,pedestrian
P10,682,754,73,pedestrian
P11,689,757,69,pedestrian
P12,484,527,44,pedestrian
P13,570,619,50,pedestrian
P14,694,707,14,pedestrian
P15,845,1148,304,pedestrian
P16,1038,1457,420,pedestrian
P17,1107,1176,70,pedestrian
P18,1509,1945,437,pedestrian
P19,1789,1898,110,pedestrian
P20,1946,1959,14,pedestrian
P21,1998,2008,11,pedestrian
P22,2283,2682,400,pedestrian
P23,2566,2897,332,pedestrian
P24,2672,2821,150,pedestrian
P25,3088,3842,755,pedestrian
P26,2965,3433,469,pedestrian
P27,2956,3329,374,pedestrian
P28,3297,3688,392,pedestrian
P29,3309,3682,374,pedestrian
P30,3833,3890,58,pedestrian
P31,3812,4102,291,pedestrian
P32,3842,4413,572,pedestrian
P33,4188,4203,16,pedestrian
P34,4215,4257,43,pedestrian
P35,4447,4458,12,pedestrian
P36,4725,4772,48,pedestrian
P37,4919,5281,363,pedestrian
P38,4954,5194,241,pedestrian
P39,5215,5256,42,pedestrian
P40,5195,5612,418,pedestrian
P41,5209,5222,14,pedestrian
P42,5248,5916,669,pedestrian
P43,5296,5724,429,pedestrian
P44,5295,5606,312,pedestrian
P45,5427,5488,62,pedestrian
P46,5628,5643,16,pedestrian
P47,5727,5797,71,pedestrian
P48,5753,6171,419,pedestrian
P49,5773,6103,331,pedestrian
P50,5862,6063,202,pedestrian
P51,5886,5937,52,pedestrian
P52,5894,5932,39,pedestrian
P53,5906,5919,14,pedestrian
P54,5940,6379,440,pedestrian
P55,5963,6595,633,pedestrian
P56,5964,6595,632,pedestrian
P57,6025,6294,270,pedestrian
P58,6284,6926,643,pedestrian
P59,6340,6926,587,pedestrian
P60,6470,6490,21,pedestrian
P61,6524,6747,224,pedestrian
P62,6645,7304,660,pedestrian
P63,6955,7600,646,pedestrian
P64,7813,8178,366,pedestrian
P65,8042,8126,85,pedestrian
P66,8215,8238,24,pedestrian
P67,8255,8439,185,pedestrian
P68,8311,8694,384,pedestrian
P69,8318,8686,369,pedestrian
P70,8422,8996,575,pedestrian
P71,8422,8945,524,pedestrian
P72,8455,9144,690,pedestrian
P73,8676,9111,436,pedestrian
P74,8693,9114,422,pedestrian
P75,8731,9014,284,pedestrian
P76,8758,9131,374,pedestrian
P77,9161,9758,598,pedestrian
P78,9474,9846,373,pedestrian
P79,10173,10464,292,pedestrian
P80,10113,10709,597,pedestrian
P81,10192,10491,300,pedestrian
P82,10447,10731,285,pedestrian
P83,10446,10762,317,pedestrian
P84,10308,10905,598,pedestrian
P85,10326,10918,593,pedestrian
P86,10335,10898,564,pedestrian
P87,10386,10417,32,pedestrian
P88,10692,10733,42,pedestrian
P89,10549,10991,443,pedestrian
P90,10613,11079,467,pedestrian
P91,10731,11341,611,pedestrian
P92,10789,11114,326,pedestrian
P93,10742,10755,14,pedestrian
P94,11108,11234,127,pedestrian
P95,11312,11327,16,pedestrian
P96,11319,11337,19,pedestrian
P97,11437,11671,235,pedestrian
P98,11448,11671,224,pedestrian
P99,11581,11671,91,pedestrian
P100,11623,11638,16,pedestrian
