trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,261,262,pedestrian
P2,0,65,66,pedestrian
P3,0,43,44,pedestrian
P4,0,261,262,pedestrian
P5,0,77,78,pedestrian
P6,0,12197,12198,pedestrian
P7,0,10,11,pedestrian
P8,0,473,474,pedestrian
P9,2,177,176,pedestrian
P10,157,471,315,pedestrian
P11,169,306,138,pedestrian
P12,299,491,193,pedestrian
P13,453,706,254,pedestrian
P14,310,705,396,pedestrian
P15,870,1426,557,pedestrian
P16,890,1442,553,pedestrian
P17,891,1450,560,pedestrian
P18,1190,1328,139,pedestrian
P19,1419,1481,63,pedestrian
P20,1559,1814,256,pedestrian
P21,1568,1628,61,pedestrian
P22,1593,1689,97,pedestrian
P23,1591,1682,92,pedestrian
P24,1882,2258,377,pedestrian
P25,1844,2392,549,pedestrian
P26,1839,1932,94,pedestrian
P27,1920,2259,340,pedestrian
P28,2035,2340,306,pedestrian
P29,2097,2436,340,pedestrian
P30,2114,2379,266,pedestrian
P31,2287,2639,353,pedestrian
P32,2346,2752,407,pedestrian
P33,2497,3157,661,pedestrian
P34,2521,2573,53,pedestrian
P35,2845,3587,743,pedestrian
P36,2934,3026,93,pedestrian
P37,3335,3740,406,pedestrian
P38,3520,3826,307,pedestrian
P39,3563,3817,255,pedestrian
P40,4316,4393,78,pedestrian
P41,4435,4731,297,pedestrian
P42,4537,4895,359,pedestrian
P43,4776,4798,23,pedestrian
P44,4823,5386,564,pedestrian
P45,4836,4884,49,pedestrian
P46,5475,5530,56,pedestrian
P47,5502,5573,72,pedestrian
P48,5538,5609,72,pedestrian
P49,5581,5947,367,pedestrian
P50,6148,6193,46,pedestrian
P51,6275,6562,288,pedestrian
P52,6650,7036,387,pedestrian
P53,7064,7088,25,pedestrian
P54,7094,7165,72,pedestrian
P55,7449,7962,514,pedestrian
P56,7463,7917,455,pedestrian
P57,7468,7796,329,pedestrian
P58,7560,8195,636,pedestrian
P59,8012,8479,468,pedestrian
P60,8987,9314,328,pedestrian
P61,9110,9615,506,pedestrian
P62,9102,9112,11,pedestrian
P63,9527,9596,70,pedestrian
P64,9626,9640,15,pedestrian
P65,9723,10040,318,pedestrian
P66,9705,9922,218,pedestrian
P67,9739,10031,293,pedestrian
P68,10185,10240,56,pedestrian
P69,10289,11086,798,pedestrian
P70,10294,11081,788,pedestrian
P71,10496,10893,398,pedestrian
P72,10498,10891,394,pedestrian
P73,10631,12001,1371,pedestrian
P74,10872,11188,317,pedestrian
P75,10881,10981,101,pedestrian
P76,11225,11874,650,pedestrian
P77,11227,11955,729,pedestrian
P78,11246,12197,952,pedestrian
P79,11701,12142,442,pedestrian
P80,11708,12155,448,pedestrian
P81,11706,12140,435,pedestrian
P82,11709,12133,425,pedestrian
P83,11709,12145,437,pedestrian
P84,12015,12197,183,pedestrian
P85,12135,12197,63,pedestrian
P86,12133,12197,65,pedestrian
