trackId,initialFrame,finalFrame,Frame_nums,class
P1,122,663,542,pedestrian
P2,292,617,326,pedestrian
P3,332,695,364,pedestrian
P4,461,922,462,pedestrian
P5,485,1041,557,pedestrian
P6,496,802,307,pedestrian
P7,523,916,394,pedestrian
P8,780,1138,359,pedestrian
P9,918,1363,446,pedestrian
P10,1034,1131,98,pedestrian
P11,1198,1633,436,pedestrian
P12,1188,1532,345,pedestrian
P13,1233,1348,116,pedestrian
P14,1416,1967,552,pedestrian
P15,1436,2247,812,pedestrian
P16,1463,2009,547,pedestrian
P17,2045,2624,580,pedestrian
P18,2467,2763,297,pedestrian
P19,2480,2770,291,pedestrian
P20,2537,2830,294,pedestrian
P21,2739,3039,301,pedestrian
P22,2837,3364,528,pedestrian
P23,2890,3105,216,pedestrian
P24,3096,3505,410,pedestrian
P25,3271,3323,53,pedestrian
P26,3312,3798,487,pedestrian
P27,3343,3767,425,pedestrian
P28,3852,4248,397,pedestrian
P29,3889,4312,424,pedestrian
P30,4364,5047,684,pedestrian
P31,4777,4958,182,pedestrian
