trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,108,109,pedestrian
P2,0,24,25,pedestrian
P3,35,51,17,pedestrian
P4,175,238,64,pedestrian
P5,226,648,423,pedestrian
P6,237,599,363,pedestrian
P7,391,1378,988,pedestrian
P8,454,829,376,pedestrian
P9,456,836,381,pedestrian
P10,572,839,268,pedestrian
P11,810,1032,223,pedestrian
P12,1085,1250,166,pedestrian
P13,1336,1632,297,pedestrian
P14,1420,1856,437,pedestrian
P15,1987,2014,28,pedestrian
P16,2154,2293,140,pedestrian
P17,2128,2447,320,pedestrian
P18,2199,2363,165,pedestrian
P19,2173,2614,442,pedestrian
P20,2308,2327,20,pedestrian
P21,2383,2719,337,pedestrian
P22,2475,2675,201,pedestrian
P23,2475,2575,101,pedestrian
P24,2500,2667,168,pedestrian
P25,2594,2681,88,pedestrian
P26,2947,3170,224,pedestrian
P27,2632,2641,10,pedestrian
P28,2635,2698,64,pedestrian
P29,2740,3126,387,pedestrian
P30,2935,3330,396,pedestrian
P31,3146,3223,78,pedestrian
P32,3198,3469,272,pedestrian
P33,3474,3804,331,pedestrian
P34,3545,3819,275,pedestrian
P35,3879,4297,419,pedestrian
P36,3950,4401,452,pedestrian
P37,4024,4035,12,pedestrian
P38,4047,4304,258,pedestrian
P39,4366,4893,528,pedestrian
P40,4351,4458,108,pedestrian
P41,4724,4972,249,pedestrian
P42,4697,5115,419,pedestrian
P43,4927,5305,379,pedestrian
P44,4926,5231,306,pedestrian
P45,5150,5335,186,pedestrian
P46,5194,5647,454,pedestrian
P47,5204,5646,443,pedestrian
P48,5224,5234,11,pedestrian
P49,5263,5607,345,pedestrian
P50,5447,5599,153,pedestrian
P51,5494,5849,356,pedestrian
P52,5588,5940,353,pedestrian
P53,5630,5828,199,pedestrian
P54,5680,5738,59,pedestrian
P55,5746,5889,144,pedestrian
P56,5782,6372,591,pedestrian
P57,5778,6371,594,pedestrian
P58,5900,5952,53,pedestrian
P59,5951,5991,41,pedestrian
P60,6380,6966,587,pedestrian
P61,6388,6406,19,pedestrian
P62,6476,7040,565,pedestrian
P63,6563,6622,60,pedestrian
P64,6563,6596,34,pedestrian
P65,6838,6907,70,pedestrian
P66,6846,6934,89,pedestrian
P67,6939,7210,272,pedestrian
P68,6981,7048,68,pedestrian
P69,7234,7411,178,pedestrian
P70,7347,7428,82,pedestrian
P71,7390,8006,617,pedestrian
P72,7417,8037,621,pedestrian
P73,7537,8177,641,pedestrian
P74,7612,7681,70,pedestrian
P75,7701,7835,135,pedestrian
P76,7764,7781,18,pedestrian
P77,7805,7956,152,pedestrian
P78,7942,8012,71,pedestrian
P79,7947,7969,23,pedestrian
P80,7976,8531,556,pedestrian
P81,8073,8386,314,pedestrian
P82,8130,8333,204,pedestrian
P83,8408,8422,15,pedestrian
P84,8437,8836,400,pedestrian
P85,8514,8527,14,pedestrian
P86,8532,9038,507,pedestrian
P87,8530,9236,707,pedestrian
P88,8528,8543,16,pedestrian
P89,8561,8638,78,pedestrian
P90,8580,8671,92,pedestrian
P91,8890,9086,197,pedestrian
P92,8972,9245,274,pedestrian
P93,9270,9382,113,pedestrian
P94,9378,10676,1299,pedestrian
P95,9548,10228,681,pedestrian
P96,9547,10074,528,pedestrian
P97,9628,10259,632,pedestrian
P98,9630,10252,623,pedestrian
P99,9797,10057,261,pedestrian
P100,9715,9741,27,pedestrian
P101,9841,10057,217,pedestrian
P102,9942,10143,202,pedestrian
P103,10101,10354,254,pedestrian
P104,10148,10216,69,pedestrian
P105,10183,10192,10,pedestrian
P106,10263,10557,295,pedestrian
P107,10323,10499,177,pedestrian
P108,10370,10545,176,pedestrian
P109,10555,10916,362,pedestrian
P110,10632,10707,76,pedestrian
P111,10811,11162,352,pedestrian
P112,10672,10743,72,pedestrian
P113,10646,11120,475,pedestrian
P114,10837,11153,317,pedestrian
P115,10852,11118,267,pedestrian
P116,10647,10922,276,pedestrian
P117,10747,10807,61,pedestrian
P118,10856,11155,300,pedestrian
P119,10938,10986,49,pedestrian
P120,11094,11265,172,pedestrian
P121,11551,11570,20,pedestrian
