trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,319,320,pedestrian
P2,0,12293,12294,pedestrian
P3,0,204,205,pedestrian
P4,36,503,468,pedestrian
P5,331,614,284,pedestrian
P6,500,615,116,pedestrian
P7,941,987,47,pedestrian
P8,1031,1217,187,pedestrian
P9,1060,1560,501,pedestrian
P10,1269,1372,104,pedestrian
P11,1275,1981,707,pedestrian
P12,1279,1988,710,pedestrian
P13,1557,1770,214,pedestrian
P14,1568,1780,213,pedestrian
P15,1570,1764,195,pedestrian
P16,1575,1779,205,pedestrian
P17,1558,1623,66,pedestrian
P18,1688,1703,16,pedestrian
P19,1908,1958,51,pedestrian
P20,1919,1928,10,pedestrian
P21,1951,2250,300,pedestrian
P22,1948,2251,304,pedestrian
P23,1972,2263,292,pedestrian
P24,2020,2542,523,pedestrian
P25,2015,2028,14,pedestrian
P26,2275,2533,259,pedestrian
P27,2287,2515,229,pedestrian
P28,2474,2516,43,pedestrian
P29,2610,2663,54,pedestrian
P30,3360,3400,41,pedestrian
P31,3390,3407,18,pedestrian
P32,4115,4195,81,pedestrian
P33,3953,3966,14,pedestrian
P34,4248,4502,255,pedestrian
P35,4208,4245,38,pedestrian
P36,4423,4797,375,pedestrian
P37,4565,4852,288,pedestrian
P38,5498,5957,460,pedestrian
P39,5983,6441,459,pedestrian
P40,6355,6698,344,pedestrian
P41,6619,7112,494,pedestrian
P42,6681,7112,432,pedestrian
P43,7180,7504,325,pedestrian
P44,7037,7615,579,pedestrian
P45,7052,7396,345,pedestrian
P46,7333,7587,255,pedestrian
P47,7369,7403,35,pedestrian
P48,7617,8390,774,pedestrian
P49,8140,8200,61,pedestrian
P50,8804,8868,65,pedestrian
P51,9583,9870,288,pedestrian
P52,9756,9765,10,pedestrian
P53,9767,9816,50,pedestrian
P54,9957,10739,783,pedestrian
P55,9827,9845,19,pedestrian
P56,9902,10484,583,pedestrian
P57,10164,10596,433,pedestrian
P58,10300,10389,90,pedestrian
P59,10211,10309,99,pedestrian
P60,10911,11361,451,pedestrian
P61,10951,11421,471,pedestrian
P62,10955,11422,468,pedestrian
P63,12198,12293,96,pedestrian
P64,12199,12291,93,pedestrian
