trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,114,115,pedestrian
P2,0,477,478,pedestrian
P3,13,236,224,pedestrian
P4,10,355,346,pedestrian
P5,0,302,303,pedestrian
P6,16,119,104,pedestrian
P7,55,560,506,pedestrian
P8,58,208,151,pedestrian
P9,170,620,451,pedestrian
P10,616,651,36,pedestrian
P11,670,960,291,pedestrian
P12,813,1111,299,pedestrian
P13,1317,1735,419,pedestrian
P14,1382,1775,394,pedestrian
P15,1391,1481,91,pedestrian
P16,1920,2286,367,pedestrian
P17,1929,2216,288,pedestrian
P18,1977,1995,19,pedestrian
P19,2065,2306,242,pedestrian
P20,2211,3078,868,pedestrian
P21,2217,3113,897,pedestrian
P22,2751,3024,274,pedestrian
P23,2558,2916,359,pedestrian
P24,2574,2922,349,pedestrian
P25,2672,3494,823,pedestrian
P26,2673,2990,318,pedestrian
P27,2847,3397,551,pedestrian
P28,2849,3168,320,pedestrian
P29,3013,3510,498,pedestrian
P30,2923,3172,250,pedestrian
P31,2983,3262,280,pedestrian
P32,3284,3410,127,pedestrian
P33,3350,3509,160,pedestrian
P34,3413,3948,536,pedestrian
P35,3413,3948,536,pedestrian
P36,3660,3986,327,pedestrian
P37,3711,3751,41,pedestrian
P38,3766,4294,529,pedestrian
P39,3849,3877,29,pedestrian
P40,3902,3988,87,pedestrian
P41,4148,4540,393,pedestrian
P42,4204,4572,369,pedestrian
P43,4192,4272,81,pedestrian
P44,4208,4640,433,pedestrian
P45,4528,4891,364,pedestrian
P46,4611,6893,2283,pedestrian
P47,4743,5240,498,pedestrian
P48,4751,4778,28,pedestrian
P49,4752,4977,226,pedestrian
P50,4839,4896,58,pedestrian
P51,4794,5152,359,pedestrian
P52,4985,5609,625,pedestrian
P53,5333,5477,145,pedestrian
P54,6111,6129,19,pedestrian
P55,5559,5688,130,pedestrian
P56,5785,6885,1101,pedestrian
P57,5822,6242,421,pedestrian
P58,5844,6200,357,pedestrian
P59,5934,6097,164,pedestrian
P60,6071,6119,49,pedestrian
P61,6199,6263,65,pedestrian
P62,6230,6317,88,pedestrian
P63,6233,6314,82,pedestrian
P64,6259,6284,26,pedestrian
P65,6324,6722,399,pedestrian
P66,6646,7051,406,pedestrian
P67,6741,7176,436,pedestrian
P68,6744,7175,432,pedestrian
P69,6759,7210,452,pedestrian
P70,6747,6855,109,pedestrian
P71,6901,7160,260,pedestrian
P72,7048,7126,79,pedestrian
P73,7053,7126,74,pedestrian
P74,7073,7316,244,pedestrian
P75,7564,7596,33,pedestrian
P76,7189,7604,416,pedestrian
P77,7392,7629,238,pedestrian
P78,7469,8130,662,pedestrian
P79,7675,8049,375,pedestrian
P80,7819,8003,185,pedestrian
P81,7977,8353,377,pedestrian
P82,8195,8524,330,pedestrian
P83,8485,8569,85,pedestrian
P84,8772,8846,75,pedestrian
P85,8942,9007,66,pedestrian
P86,9193,10920,1728,pedestrian
P87,8986,9364,379,pedestrian
P88,9143,9452,310,pedestrian
P89,9159,9384,226,pedestrian
P90,9191,9686,496,pedestrian
P91,9194,9772,579,pedestrian
P92,9659,9975,317,pedestrian
P93,9714,9809,96,pedestrian
P94,10316,10748,433,pedestrian
P95,10487,10620,134,pedestrian
P96,10464,10769,306,pedestrian
P97,10651,10927,277,pedestrian
P98,11059,11217,159,pedestrian
P99,11386,11676,291,pedestrian
P100,11333,11917,585,pedestrian
P101,11363,11471,109,pedestrian
P102,11625,11795,171,pedestrian
P103,11587,11932,346,pedestrian
P104,11763,11998,236,pedestrian
P105,11785,12996,1212,pedestrian
P106,11747,12342,596,pedestrian
P107,11885,12302,418,pedestrian
P108,11929,12079,151,pedestrian
P109,12294,12434,141,pedestrian
P110,12260,12761,502,pedestrian
P111,12302,12317,16,pedestrian
P112,12279,12304,26,pedestrian
P113,12386,12860,475,pedestrian
P114,12441,12453,13,pedestrian
P115,12692,12996,305,pedestrian
P116,12852,12917,66,pedestrian
P117,12926,12996,71,pedestrian
P118,12918,12945,28,pedestrian
P119,12934,12958,25,pedestrian
