RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-334,-11144.4778111445,0,1,1,0,0,1,1,0
445,14848.1815148482,0,3,3,0,0,3,3,0
536,17884.5512178846,0,0,0,0,0,0,0,0
565,18852.1855188522,1,0,0,1,1,0,0,1
1344,44844.8448448448,3,0,0,3,3,0,0,3
1434,47847.8478478479,0,0,0,0,0,0,0,0
1464,48848.8488488489,0,1,1,0,0,1,1,0
2243,74841.5081748415,0,3,3,0,0,3,3,0
2333,77844.5111778445,0,0,0,0,0,0,0,0
2363,78845.5121788455,1,0,0,1,1,0,0,1
3143,104871.538204872,3,0,0,3,3,0,0,3
3233,107874.541207875,0,0,0,0,0,0,0,0
3262,108842.175508842,0,1,1,0,0,1,1,0
4042,134868.201534868,0,3,3,0,0,3,3,0
4132,137871.204537871,0,0,0,0,0,0,0,0
4162,138872.205538872,1,0,0,1,1,0,0,1
4940,164831.498164832,3,0,0,3,3,0,0,3
5030,167834.501167835,0,0,0,0,0,0,0,0
5061,168868.868868869,0,1,1,0,0,1,1,0
5838,194794.794794795,0,3,3,0,0,3,3,0
5928,197797.797797798,0,0,0,0,0,0,0,0
5958,198798.798798799,1,0,0,1,1,0,0,1
6738,224824.824824825,3,0,0,3,3,0,0,3
6827,227794.461127794,0,0,0,0,0,0,0,0
6857,228795.462128795,0,1,1,0,0,1,1,0
7636,254788.121454788,0,3,3,0,0,3,3,0
7726,257791.124457791,0,0,0,0,0,0,0,0
7757,258825.492158825,1,0,0,1,1,0,0,1
8535,284784.784784785,3,0,0,3,3,0,0,3
8625,287787.787787788,0,0,0,0,0,0,0,0
8655,288788.788788789,0,1,1,0,0,1,1,0
9435,314814.814814815,0,3,3,0,0,3,3,0
9525,317817.817817818,0,0,0,0,0,0,0,0
9554,318785.452118785,1,0,0,1,1,0,0,1
10335,344844.844844845,3,0,0,3,3,0,0,3
10424,347814.481147814,0,0,0,0,0,0,0,0
10454,348815.482148815,0,1,1,0,0,1,1,0
11235,374874.874874875,0,3,3,0,0,3,3,0
11325,377877.877877878,0,0,0,0,0,0,0,0
11353,378812.145478812,1,0,0,1,1,0,0,1
12134,404871.538204872,3,0,0,3,3,0,0,3
12224,407874.541207875,0,0,0,0,0,0,0,0
12254,408875.542208876,0,1,1,0,0,1,1,0
13033,434868.201534868,0,3,3,0,0,3,3,0
13123,437871.204537871,0,0,0,0,0,0,0,0
13153,438872.205538872,1,0,0,1,1,0,0,1
13933,464898.231564898,3,0,0,3,3,0,0,3
14023,467901.234567901,0,0,0,0,0,0,0,0
14052,468868.868868869,0,1,1,0,0,1,1,0
