trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,552,553,pedestrian
P2,0,116,117,pedestrian
P3,0,12194,12195,pedestrian
P4,0,1197,1198,pedestrian
P5,0,114,115,pedestrian
P6,2,58,57,pedestrian
P7,85,233,149,pedestrian
P8,420,898,479,pedestrian
P9,572,776,205,pedestrian
P10,789,1183,395,pedestrian
P11,982,1198,217,pedestrian
P12,985,1182,198,pedestrian
P13,1011,1033,23,pedestrian
P14,1300,1332,33,pedestrian
P15,2089,2295,207,pedestrian
P16,2095,2375,281,pedestrian
P17,2090,2362,273,pedestrian
P18,2105,2379,275,pedestrian
P19,2108,2453,346,pedestrian
P20,2476,3180,705,pedestrian
P21,3005,3607,603,pedestrian
P22,3064,3827,764,pedestrian
P23,3409,3682,274,pedestrian
P24,4192,4640,449,pedestrian
P25,4105,4129,25,pedestrian
P26,4141,4460,320,pedestrian
P27,4168,4488,321,pedestrian
P28,4226,4340,115,pedestrian
P29,4921,5249,329,pedestrian
P30,5184,5422,239,pedestrian
P31,5558,5942,385,pedestrian
P32,5683,6207,525,pedestrian
P33,5713,6205,493,pedestrian
P34,6161,6283,123,pedestrian
P35,6139,6372,234,pedestrian
P36,6185,7393,1209,pedestrian
P37,6195,7228,1034,pedestrian
P38,6790,6959,170,pedestrian
P39,6821,8651,1831,pedestrian
P40,6841,6955,115,pedestrian
P41,6871,7141,271,pedestrian
P42,6966,7053,88,pedestrian
P43,6954,7143,190,pedestrian
P44,7118,7191,74,pedestrian
P45,7183,7378,196,pedestrian
P46,7204,7240,37,pedestrian
P47,7395,7414,20,pedestrian
P48,7413,7427,15,pedestrian
P49,7970,8237,268,pedestrian
P50,7972,8641,670,pedestrian
P51,8043,8179,137,pedestrian
P52,8043,8152,110,pedestrian
P53,8219,8244,26,pedestrian
P54,8238,8581,344,pedestrian
P55,8355,8608,254,pedestrian
P56,8503,9044,542,pedestrian
P57,8395,9115,721,pedestrian
P58,8582,8629,48,pedestrian
P59,8609,8903,295,pedestrian
P60,8904,9000,97,pedestrian
P61,9001,9135,135,pedestrian
P62,9038,9124,87,pedestrian
P63,9598,9902,305,pedestrian
P64,9652,10068,417,pedestrian
P65,9987,10057,71,pedestrian
P66,10320,10680,361,pedestrian
P67,10382,10736,355,pedestrian
P68,10420,10763,344,pedestrian
P69,11190,11633,444,pedestrian
P70,11466,11586,121,pedestrian
P71,11841,12153,313,pedestrian
P72,11934,11983,50,pedestrian
P73,11984,12007,24,pedestrian
P74,12028,12194,167,pedestrian
