trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,12309,12310,pedestrian
P2,294,855,562,pedestrian
P3,350,418,69,pedestrian
P4,668,1095,428,pedestrian
P5,813,1238,426,pedestrian
P6,1228,1544,317,pedestrian
P7,1618,1873,256,pedestrian
P8,1480,1933,454,pedestrian
P9,1576,1591,16,pedestrian
P10,1787,2201,415,pedestrian
P11,1795,2204,410,pedestrian
P12,1784,1963,180,pedestrian
P13,2142,2163,22,pedestrian
P14,2182,2218,37,pedestrian
P15,2254,2596,343,pedestrian
P16,2372,2605,234,pedestrian
P17,2370,2601,232,pedestrian
P18,2670,3065,396,pedestrian
P19,2697,3064,368,pedestrian
P20,2726,2829,104,pedestrian
P21,2986,3332,347,pedestrian
P22,3079,3428,350,pedestrian
P23,3371,3392,22,pedestrian
P24,4111,4785,675,pedestrian
P25,4638,5077,440,pedestrian
P26,4638,5079,442,pedestrian
P27,5119,5326,208,pedestrian
P28,5120,5225,106,pedestrian
P29,5267,5747,481,pedestrian
P30,5387,6224,838,pedestrian
P31,6322,6917,596,pedestrian
P32,6324,6653,330,pedestrian
P33,6368,6914,547,pedestrian
P34,6564,7171,608,pedestrian
P35,6775,7155,381,pedestrian
P36,7083,7192,110,pedestrian
P37,7451,7549,99,pedestrian
P38,7526,7994,469,pedestrian
P39,7531,7998,468,pedestrian
P40,7670,8187,518,pedestrian
P41,7885,7930,46,pedestrian
P42,8241,8278,38,pedestrian
P43,8100,8573,474,pedestrian
P44,8600,8889,290,pedestrian
P45,8605,8904,300,pedestrian
P46,8888,9783,896,pedestrian
P47,8903,9786,884,pedestrian
P48,8949,8960,12,pedestrian
P49,9305,9625,321,pedestrian
P50,9500,9517,18,pedestrian
P51,9708,10076,369,pedestrian
P52,10072,10533,462,pedestrian
P53,10204,10272,69,pedestrian
P54,10215,10281,67,pedestrian
P55,11657,12253,597,pedestrian
P56,11663,12250,588,pedestrian
P57,11686,11915,230,pedestrian
P58,11708,12081,374,pedestrian
P59,11939,12250,312,pedestrian
