trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,494,495,pedestrian
P2,0,1737,1738,pedestrian
P3,0,12297,12298,pedestrian
P4,0,329,330,pedestrian
P5,80,459,380,pedestrian
P6,201,623,423,pedestrian
P7,205,636,432,pedestrian
P8,410,884,475,pedestrian
P9,566,941,376,pedestrian
P10,708,774,67,pedestrian
P11,829,1189,361,pedestrian
P12,1211,1725,515,pedestrian
P13,1206,1558,353,pedestrian
P14,1192,1917,726,pedestrian
P15,1214,1918,705,pedestrian
P16,2046,2078,33,pedestrian
P17,2131,2472,342,pedestrian
P18,2247,2340,94,pedestrian
P19,2347,3090,744,pedestrian
P20,2350,3087,738,pedestrian
P21,2352,3063,712,pedestrian
P22,2510,2556,47,pedestrian
P23,2400,2410,11,pedestrian
P24,2671,2791,121,pedestrian
P25,2681,2796,116,pedestrian
P26,2692,3161,470,pedestrian
P27,2985,3242,258,pedestrian
P28,3010,3290,281,pedestrian
P29,2973,3435,463,pedestrian
P30,3067,3083,17,pedestrian
P31,3691,3785,95,pedestrian
P32,3757,3825,69,pedestrian
P33,3773,4208,436,pedestrian
P34,4426,4836,411,pedestrian
P35,4720,5158,439,pedestrian
P36,5747,6166,420,pedestrian
P37,5843,6157,315,pedestrian
P38,5848,6154,307,pedestrian
P39,6315,6800,486,pedestrian
P40,6369,6695,327,pedestrian
P41,6415,6709,295,pedestrian
P42,6873,7264,392,pedestrian
P43,6878,7230,353,pedestrian
P44,6886,7259,374,pedestrian
P45,6974,7421,448,pedestrian
P46,6981,7278,298,pedestrian
P47,7072,7283,212,pedestrian
P48,7551,7615,65,pedestrian
P49,7608,8042,435,pedestrian
P50,7843,8402,560,pedestrian
P51,7848,8402,555,pedestrian
P52,7902,8139,238,pedestrian
P53,8058,8848,791,pedestrian
P54,8184,8193,10,pedestrian
P55,8288,8562,275,pedestrian
P56,8443,8797,355,pedestrian
P57,8445,8906,462,pedestrian
P58,8535,8871,337,pedestrian
P59,8600,8736,137,pedestrian
P60,8673,8715,43,pedestrian
P61,8745,9211,467,pedestrian
P62,8748,9085,338,pedestrian
P63,8935,9774,840,pedestrian
P64,9046,9388,343,pedestrian
P65,9045,9310,266,pedestrian
P66,9086,9097,12,pedestrian
P67,9355,9615,261,pedestrian
P68,9235,9543,309,pedestrian
P69,9553,10733,1181,pedestrian
P70,9638,10383,746,pedestrian
P71,9753,10274,522,pedestrian
P72,9883,10062,180,pedestrian
P73,9885,10306,422,pedestrian
P74,9887,10308,422,pedestrian
P75,10355,11381,1027,pedestrian
P76,10329,10684,356,pedestrian
P77,10330,10432,103,pedestrian
P78,10526,10806,281,pedestrian
P79,10775,11400,626,pedestrian
P80,10789,11398,610,pedestrian
P81,10960,11097,138,pedestrian
P82,11055,11526,472,pedestrian
P83,11094,11439,346,pedestrian
P84,11156,11517,362,pedestrian
P85,11552,11595,44,pedestrian
P86,11618,11690,73,pedestrian
P87,12238,12297,60,pedestrian
P88,12079,12129,51,pedestrian
P89,12190,12297,108,pedestrian
