trackId,initialFrame,finalFrame,Frame_nums,class
P1,0,3910,3911,pedestrian
P2,48,155,108,pedestrian
P3,141,591,451,pedestrian
P4,176,268,93,pedestrian
P5,385,884,500,pedestrian
P6,530,739,210,pedestrian
P7,682,758,77,pedestrian
P8,763,1010,248,pedestrian
P9,839,1178,340,pedestrian
P10,1083,1677,595,pedestrian
P11,1530,1901,372,pedestrian
P12,1899,1958,60,pedestrian
P13,2928,2975,48,pedestrian
P14,3400,4034,635,pedestrian
P15,3390,4040,651,pedestrian
P16,3550,4175,626,pedestrian
P17,3922,3939,18,pedestrian
P18,3987,4261,275,pedestrian
P19,4544,4570,27,pedestrian
P20,5109,5177,69,pedestrian
P21,5093,5345,253,pedestrian
P22,5828,5841,14,pedestrian
P23,5853,5990,138,pedestrian
P24,6047,6089,43,pedestrian
P25,6166,6236,71,pedestrian
P26,6329,6938,610,pedestrian
P27,6330,6948,619,pedestrian
P28,6677,7294,618,pedestrian
P29,6962,7015,54,pedestrian
P30,6982,7055,74,pedestrian
P31,6981,6992,12,pedestrian
P32,7002,7342,341,pedestrian
P33,7224,7379,156,pedestrian
P34,7189,7379,191,pedestrian
P35,7445,8037,593,pedestrian
P36,7509,7559,51,pedestrian
P37,7678,7800,123,pedestrian
P38,8038,8125,88,pedestrian
P39,8275,8346,72,pedestrian
P40,8217,8537,321,pedestrian
P41,8376,8415,40,pedestrian
P42,8614,8961,348,pedestrian
P43,9080,9453,374,pedestrian
P44,8974,8987,14,pedestrian
P45,9272,9583,312,pedestrian
P46,9365,10260,896,pedestrian
P47,9632,10005,374,pedestrian
P48,9845,10261,417,pedestrian
P49,9991,10060,70,pedestrian
P50,10030,10106,77,pedestrian
P51,10246,10294,49,pedestrian
P52,10201,10360,160,pedestrian
P53,10310,10360,51,pedestrian
P54,10321,10339,19,pedestrian
P55,10337,10360,24,pedestrian
