RawFrameID,timestamp(ms),Traffic light 1,Traffic light 2,Traffic light 3,Traffic light 4,Traffic light 5,Traffic light 6,Traffic light 7,Traffic light 8
-576,-19219.2192192192,0,1,1,0,0,1,1,0
204,6806.80680680681,0,3,3,0,0,3,3,0
295,9843.17650984318,0,0,0,0,0,0,0,0
325,10844.1775108442,1,0,0,1,1,0,0,1
1102,36770.1034367701,3,0,0,3,3,0,0,3
1193,39806.4731398065,0,0,0,0,0,0,0,0
1222,40774.1074407741,0,1,1,0,0,1,1,0
2003,66833.5001668335,0,3,3,0,0,3,3,0
2091,69769.7697697698,0,0,0,0,0,0,0,0
2121,70770.7707707708,1,0,0,1,1,0,0,1
2901,96796.7967967968,3,0,0,3,3,0,0,3
2992,99833.1664998332,0,0,0,0,0,0,0,0
3022,100834.167500834,0,1,1,0,0,1,1,0
3800,126793.460126793,0,3,3,0,0,3,3,0
3891,129829.82982983,0,0,0,0,0,0,0,0
3920,130797.464130797,1,0,0,1,1,0,0,1
4701,156856.856856857,3,0,0,3,3,0,0,3
4790,159826.493159826,0,0,0,0,0,0,0,0
4820,160827.494160828,0,1,1,0,0,1,1,0
5599,186820.15348682,0,3,3,0,0,3,3,0
5689,189823.156489823,0,0,0,0,0,0,0,0
5717,190757.424090757,1,0,0,1,1,0,0,1
6498,216816.816816817,3,0,0,3,3,0,0,3
6588,219819.81981982,0,0,0,0,0,0,0,0
6618,220820.820820821,0,1,1,0,0,1,1,0
7385,246413.079746413,0,3,3,0,0,3,3,0
7487,249816.483149816,0,0,0,0,0,0,0,0
7516,250784.117450784,1,0,0,1,1,0,0,1
8297,276843.510176843,3,0,0,3,3,0,0,3
8385,279779.77977978,0,0,0,0,0,0,0,0
8425,281114.447781114,0,1,1,0,0,1,1,0
9195,306806.806806807,0,3,3,0,0,3,3,0
9286,309843.176509843,0,0,0,0,0,0,0,0
9314,310777.444110777,1,0,0,1,1,0,0,1
10095,336836.836836837,3,0,0,3,3,0,0,3
10184,339806.473139806,0,0,0,0,0,0,0,0
10215,340840.840840841,0,1,1,0,0,1,1,0
10994,366833.500166834,0,3,3,0,0,3,3,0
11084,369836.503169837,0,0,0,0,0,0,0,0
11113,370804.137470804,1,0,0,1,1,0,0,1
11645,388555.221888555,3,0,0,3,3,0,0,3
11733,391491.491491491,0,0,0,0,0,0,0,0
11764,392525.859192526,0,1,1,0,0,1,1,0
12435,414914.914914915,0,3,3,0,0,3,3,0
12526,417951.284617951,0,0,0,0,0,0,0,0
12555,418918.918918919,1,0,0,1,1,0,0,1
13511,450817.484150817,3,0,0,3,3,0,0,3
13601,453820.487153821,0,0,0,0,0,0,0,0
13632,454854.854854855,0,1,1,0,0,1,1,0
14669,489456.122789456,0,3,3,0,0,3,3,0
14757,492392.392392392,0,0,0,0,0,0,0,0
14787,493393.393393393,1,0,0,1,1,0,0,1
15609,520820.820820821,3,0,0,3,3,0,0,3
15700,523857.190523857,0,0,0,0,0,0,0,0
15728,524791.458124792,0,1,1,0,0,1,1,0
16509,550850.850850851,0,3,3,0,0,3,3,0
16599,553853.853853854,0,0,0,0,0,0,0,0
16628,554821.488154822,1,0,0,1,1,0,0,1
17399,580547.213880547,3,0,0,3,3,0,0,3
17488,583516.850183517,0,0,0,0,0,0,0,0
17519,584551.217884551,0,1,1,0,0,1,1,0
18208,607540.874207541,0,3,3,0,0,3,3,0
18298,610543.877210544,0,0,0,0,0,0,0,0
18327,611511.511511512,1,0,0,1,1,0,0,1
19085,636803.470136803,3,0,0,3,3,0,0,3
19175,639806.473139807,0,0,0,0,0,0,0,0
19205,640807.474140808,0,1,1,0,0,1,1,0
19984,666800.1334668,0,3,3,0,0,3,3,0
20074,669803.136469803,0,0,0,0,0,0,0,0
20102,670737.404070737,1,0,0,1,1,0,0,1
20883,696796.796796797,3,0,0,3,3,0,0,3
20973,699799.7997998,0,0,0,0,0,0,0,0
21003,700800.800800801,0,1,1,0,0,1,1,0
21782,726793.460126793,0,3,3,0,0,3,3,0
21872,729796.463129796,0,0,0,0,0,0,0,0
21901,730764.097430764,1,0,0,1,1,0,0,1
22682,756823.490156824,3,0,0,3,3,0,0,3
22770,759759.75975976,0,0,0,0,0,0,0,0
22801,760794.127460794,0,1,1,0,0,1,1,0
